4.500000000000000000e+02,0.000000000000000000e+00
4.540000000000000000e+02,5.643000000000000013e-04
4.580000000000000000e+02,1.862190000000000113e-03
4.620000000000000000e+02,3.385800000000000008e-03
4.660000000000000000e+02,4.852979999999999794e-03
4.700000000000000000e+02,6.376589999999999689e-03
4.740000000000000000e+02,6.038009999999999905e-03
4.780000000000000000e+02,6.658739999999999798e-03
4.820000000000000000e+02,6.997319999999999582e-03
4.860000000000000000e+02,7.448760000000000450e-03
4.900000000000000000e+02,9.028800000000000020e-03
4.940000000000000000e+02,9.536670000000000563e-03
4.980000000000000000e+02,1.038311999999999916e-02
5.020000000000000000e+02,1.224531000000000057e-02
5.060000000000000000e+02,1.625184000000000004e-02
5.100000000000000000e+02,1.659042000000000155e-02
5.140000000000000000e+02,1.963764000000000134e-02
5.180000000000000000e+02,2.386989000000000125e-02
5.220000000000000000e+02,2.686068000000000136e-02
5.260000000000000000e+02,3.030290999999999887e-02
5.300000000000000000e+02,3.081077999999999942e-02
5.340000000000000000e+02,3.103650000000000159e-02
5.380000000000000000e+02,2.900501999999999941e-02
5.420000000000000000e+02,2.629638000000000114e-02
5.460000000000000000e+02,2.183840999999999907e-02
5.500000000000000000e+02,1.647755999999999874e-02
5.540000000000000000e+02,1.185029999999999938e-02
5.580000000000000000e+02,1.038311999999999916e-02
5.620000000000000000e+02,7.335900000000000233e-03
5.660000000000000000e+02,5.981580000000000230e-03
5.700000000000000000e+02,4.345110000000000118e-03
5.740000000000000000e+02,2.652209999999999897e-03
5.780000000000000000e+02,2.031480000000000005e-03
5.820000000000000000e+02,1.918620000000000004e-03
5.860000000000000000e+02,1.975049999999999896e-03
5.900000000000000000e+02,1.862190000000000113e-03
5.940000000000000000e+02,1.354320000000000003e-03
5.980000000000000000e+02,1.918620000000000004e-03
6.020000000000000000e+02,1.805760000000000004e-03
6.060000000000000000e+02,1.410750000000000112e-03
6.100000000000000000e+02,1.467180000000000003e-03
6.140000000000000000e+02,1.918620000000000004e-03
6.180000000000000000e+02,1.410750000000000112e-03
6.220000000000000000e+02,1.015740000000000002e-03
6.260000000000000000e+02,1.636470000000000112e-03
6.300000000000000000e+02,2.765070000000000115e-03
6.340000000000000000e+02,1.241460000000000003e-03
6.380000000000000000e+02,1.072169999999999894e-03
6.420000000000000000e+02,1.015740000000000002e-03
6.460000000000000000e+02,1.354320000000000003e-03
6.500000000000000000e+02,1.241460000000000003e-03
6.540000000000000000e+02,1.297889999999999894e-03
6.580000000000000000e+02,7.335900000000000016e-04
6.620000000000000000e+02,9.028800000000000020e-04
6.660000000000000000e+02,3.950100000000000009e-04
6.700000000000000000e+02,1.692900000000000004e-03
6.740000000000000000e+02,6.771600000000000015e-04
6.780000000000000000e+02,1.354320000000000003e-03
6.820000000000000000e+02,1.805760000000000004e-03
6.860000000000000000e+02,1.692900000000000004e-03
6.900000000000000000e+02,1.692900000000000004e-03
6.940000000000000000e+02,2.087910000000000113e-03
6.980000000000000000e+02,2.087910000000000113e-03
7.020000000000000000e+02,2.370060000000000222e-03
7.060000000000000000e+02,3.329369999999999899e-03
7.100000000000000000e+02,3.442230000000000116e-03
7.140000000000000000e+02,4.457970000000000335e-03
7.180000000000000000e+02,5.473709999999999687e-03
7.220000000000000000e+02,7.561619999999999800e-03
7.260000000000000000e+02,9.254520000000000454e-03
7.300000000000000000e+02,1.094741999999999937e-02
7.340000000000000000e+02,1.354320000000000003e-02
7.380000000000000000e+02,1.574396999999999949e-02
7.420000000000000000e+02,1.732401000000000080e-02
7.460000000000000000e+02,1.856547000000000058e-02
7.500000000000000000e+02,1.687256999999999993e-02
7.540000000000000000e+02,1.444608000000000003e-02
7.580000000000000000e+02,1.173744000000000003e-02
7.620000000000000000e+02,9.423809999999999479e-03
7.660000000000000000e+02,8.633790000000000561e-03
7.700000000000000000e+02,8.633790000000000561e-03
7.740000000000000000e+02,1.072170000000000067e-02
7.780000000000000000e+02,1.388177999999999981e-02
7.820000000000000000e+02,1.833974999999999841e-02
7.860000000000000000e+02,2.482919999999999919e-02
7.900000000000000000e+02,3.239082000000000072e-02
7.940000000000000000e+02,4.158890999999999977e-02
7.980000000000000000e+02,5.027912999999999827e-02
8.020000000000000000e+02,5.699429999999999774e-02
8.060000000000000000e+02,6.241158000000000122e-02
8.100000000000000000e+02,6.500736000000000014e-02
8.140000000000000000e+02,6.449949000000000654e-02
8.180000000000000000e+02,5.851790999999999937e-02
8.220000000000000000e+02,4.977125999999999773e-02
8.260000000000000000e+02,3.995243999999999879e-02
8.300000000000000000e+02,2.725568999999999908e-02
8.340000000000000000e+02,2.031480000000000091e-02
8.380000000000000000e+02,1.512323999999999960e-02
8.420000000000000000e+02,1.151171999999999959e-02
8.460000000000000000e+02,1.015740000000000046e-02
8.500000000000000000e+02,8.915940000000000670e-03
8.540000000000000000e+02,7.674480000000000017e-03
8.580000000000000000e+02,7.110179999999999799e-03
8.620000000000000000e+02,6.658739999999999798e-03
8.660000000000000000e+02,6.094439999999999580e-03
8.700000000000000000e+02,6.150870000000000122e-03
8.740000000000000000e+02,6.150870000000000122e-03
8.780000000000000000e+02,6.094439999999999580e-03
8.820000000000000000e+02,6.094439999999999580e-03
8.860000000000000000e+02,6.150870000000000122e-03
8.900000000000000000e+02,6.658739999999999798e-03
8.940000000000000000e+02,7.110179999999999799e-03
8.980000000000000000e+02,7.900199999999999584e-03
9.020000000000000000e+02,8.972370000000000345e-03
9.060000000000000000e+02,9.988109999999999697e-03
